ID;Reviewer;Document Issue.Revision;Section (Page);Comment Title;Comment Description;Recommended Solution
CUBLI1-001;Lubomir Toshev;1.0;p17;No actual requirements are defined;Requirements are discussed but not defined;Define requirements
CUBLI1-002;Pavel Popov;1.0;p.21, Instantaneous stop assumption;Overshoot recovery torque/speed not analyzed;"The ""instantaneous stop"" assumption doesn't account for the momentum needed to re-balance the cube after overshoot, nor whether the motor can spin up fast enough to correct it.";Analyze the overshoot/recovery case and check the motor's achievable spin-up rate against the required correction.
CUBLI1-003;Pavel Popov;1.0;p.34, Hand-executed analysis;Manual calculation instead of spreadsheet tool;The analysis was executed by hand rather than with a spreadsheet/scripted tool.;Redo the analysis in Excel/a script for traceability and easier iteration.
CUBLI1-004;Pavel Popov;1.0;p.48, Appendix mechanical detail;Full-assembly CAD model missing;"Overall good work; the one gap is a CAD model of the complete assembled design.";Include the full-assembly CAD model in the document.
CUBLI1-005;G. Naso;v1.0;Table 8 footnote vs Tables 12, 15 (p.20, 26, 31);The wheel does not close at the 5000 rpm case the footnote claims it was verified against;The Table 8 footnote states that the sizing 'has additionally been run at 5000 rpm as an over-dimensioning check' and concludes 'a wheel that closes at 5000 rpm therefore closes at 6000 rpm with margin in hand'. The general logic is right, but the numbers do not support the claim. h_w does not depend on omega_max - it is set by M, L and beta - so at 5000 rpm (523.6 rad/s) the requirement becomes I_w,target = 0.2588/523.6 = 4.943e-4 kg m2. The selected wheel delivers 4.599e-4 (Table 15), which is 93% of that, i.e. 7% short. The design closes at 6000 rpm only.;Either drop the claim that the 5000 rpm case was verified, or add the ballast stations that would close it - at 2.428e-5 per station, roughly two more stations (17 rather than 15) reach 4.94e-4, at a cost of about 18 g per wheel. Given that omega_max is explicitly identified as the primary relief variable and depends on pack voltage across the discharge curve, closing at 5000 rpm would be worth the mass. Whichever way it goes, state one figure and make Tables 8, 12 and 15 agree with it.
CUBLI1-006;G. Naso;v1.0;4.3.1 'Selection of tau_b' vs Table 8 caption (p.21, 20);h_w,ideal is used where h_w is meant, giving a stopping time of 38 ms where the caption says 52 ms;The text states 'At the present operating point (h_w = 0.19 kg m2/s) the design value tau_b = 5 N m corresponds to Delta t = 38 ms'. But Table 8 gives h_w = 0.2588 kg m2/s, and the Table 8 caption correctly states that tau_b = 5 N m is 'equivalent to a 52 ms stop at the present h_w' (0.2588/5 = 51.8 ms). Working the sizing back through Equation 4 gives h_w,ideal = 0.19 and h_w = beta x h_w,ideal = 1.353 x 0.19 = 0.259, so the 0.19 in the text is h_w,ideal mislabelled as h_w. The two adjacent paragraphs therefore assert two different stopping times.;Correct the symbol and the number in Sec 4.3.1 to h_w = 0.2588 and Delta t = 52 ms. This strengthens rather than weakens your argument: 52 ms is even further from a rigid impact than 38 ms, so the case that tau_b = 5 N m is conservative for sizing becomes stronger, and the warning that the structural case is much more severe becomes more pointed.
CUBLI1-007;G. Naso;v1.0;Eq. (4) as typeset (p.19);The sizing equation cannot be reproduced as printed because the radical's scope is ambiguous;Equation 4 renders as h_w,ideal = sqrt(eta) sqrt(2g) lambda kappa / n x M L^(3/2). Read literally, with the square root covering only 2g, the corner case gives 0.111 kg m2/s. Reading it as the physically correct energy-and-momentum result, h_w,ideal = sqrt(eta) x M L^(3/2) x sqrt(2 kappa g lambda) / n, gives 0.1866, which combined with beta reproduces Table 8's 0.2588 exactly. So the intended grouping is sqrt(2 kappa g lambda), but that is not what the typeset equation says, and a reader checking the sizing will get a figure 40% low.;Set the radical to cover 2 kappa g lambda explicitly, and add one worked numerical substitution for the corner case beneath it so the reader can verify Table 8 in one step. Given how much of the design hangs off this one relation, a worked example is worth the half page. The dimensional check (kg m^1.5 x (m/s2)^0.5 = kg m2/s) is satisfied either way, so only an arithmetic reproduction catches it.
CUBLI1-008;G. Naso;v1.0;3.2 Table 4 vs Table 2 task A3 (p.17, 9);The document has no requirements: no identifiers, no numbers, no verification methods;WBS task A3 commits to 'the requirements table (functional, performance, design constraint) with verification methods', owned by Pablo and closed 25 July. Section 3.2 is titled 'Requirements & Objectives Traceability' but Table 4 maps each objective onto a prose 'required capability' - for example 'The system must actively maintain dynamic stability and regulate its posture about a single line-contact equilibrium position'. There is no requirement identifier anywhere in the document, no quantified acceptance value, and no verification method column. The only numbers that function as acceptance criteria are the gate criteria in Table 3 (for instance 'balances >= 60 s unassisted'), which sit in the project management section rather than in a requirements baseline.;"This is the one structural gap in an otherwise outstanding document, and it is the cheapest to fix because the numbers already exist scattered through the text: 60 s balance, 150 mm envelope, 1 kHz loop, 6000 rpm wheel speed, I_w,target, 0.5 mm encoder gap, tilt capture band, wheel speed cap. Collect them into a table with identifiers, parent objective, value and verification method, and point the gate criteria at the requirement IDs. Everything else in the document is already traceable; it just has nothing to trace to."
CUBLI1-009;G. Naso;v1.0;Table 2 task A5, document-wide (p.9);The risk register is scheduled and closed in the WBS but does not appear in the document;Task A5, 'Risk register - trigger, impact, owner and mitigation for the leading risks', is assigned to Pablo for 28-29 July, before this 2 August issue. No risk register appears in the document and there is no section or appendix for one. Risk reasoning is clearly present in the prose - procurement and fabrication as the leading schedule risk in Appendix A, the loss of a motor forcing the one-wheel variant, the jump-up as sacrificial scope, the reservations on learned control in Sec 6.1.2 - but none of it is tabulated, prioritised or owned.;"Add the register. The content is already written; it needs collecting into a table with trigger, likelihood, impact, owner and mitigation. Candidate entries from the text itself: structure mass overrun consuming the wheel margin (see below), tau_b never measured, printed part failure at a ballast station, loss of one actuation set with no spare, encoder air gap disturbed by assembly, and schedule compression in the final week."
CUBLI1-010;G. Naso;v1.0;Table 13 vs Table 12, Table 15 (p.27, 26, 31);A structure mass overrun of about 210 g would consume the entire wheel inertia margin;The mass budget is internally consistent to the gram - the specified hardware subtotal of 1161.6 g reconciles exactly against the bill of materials, and the total of 1771.6 g reproduces the M = 1.772 kg assumed in Table 8. But the structure line is a 610 g allowance 'pending CAD', 34% of the total and correctly identified as the dominant uncertainty. Since h_w scales as M and the selected wheel sits at 111.7% of the corner requirement, the allowable growth in M is 11.7%, i.e. about 207 g. That is a 34% overrun on the structure allowance alone. A 150 mm cube frame plus inner subframe in PETG-CF at 610 g is plausible but not generous.;State this sensitivity explicitly - it is the single most useful number the sizing section could add, because it converts a soft 'dominant uncertainty' into a hard budget: the structure has 207 g of headroom before the wheel needs re-ballasting. Then track the CAD mass against it at each iteration. If it looks like being exceeded, the ballast architecture is exactly the right answer and you have the stations to add, but you need the diameter headroom checked first since D_w is envelope-capped at 120 mm.
CUBLI1-011;G. Naso;v1.0;Table 20 item 3 vs Appendix C.1 note, M1, Table 17 (p.44, 51, 13, 35);Magnet type and encoder air gap are specified two ways, differing by a factor of about seven;"Table 20 lists 'MA600 breakout + ring magnet' with 'air-gap <= 0.5 mm'. The same figure appears as a pass criterion in gate M1 ('encoder verified at <= 0.5 mm gap'), in task E2, and in the Table 17 design rules. But the note in Appendix C.1 states that 'for the provided N35 1/4"" x 1/8"" diametric disk magnet, the optimal distance in order to achieve the 20 mT-80 mT nominal magnetic field for the MA600 encoder is 3.3 mm'. So the magnet is described as both a ring and a diametric disk, and the target gap as both 0.5 mm and 3.3 mm.";Resolve which magnet is actually supplied and set the gap from its field strength against the MA600's 20-80 mT window - the Appendix C.1 calculation looks like the correct approach and 0.5 mm with that disk would very likely saturate the sensor. Then correct gate M1, task E2 and Table 17, since a gate criterion that specifies the wrong gap would be recorded as passed while leaving the encoder mis-set. This is worth fixing before the rig bring-up rather than at the next draft.
CUBLI1-012;G. Naso;v1.0;5.4.2, Table 20 items 11 and 13, Table 16 sheet 2 (p.33, 44-45, 35);The 5 V converter may be undersized for concurrent brake servo stall, and the load table it should be checked against is missing;The logic rail is an LM2596 stepping 22 V to 5 V, rated '2-3 A (derates without heatsink)', feeding the Teensy, the ESP32 (300 mA transmit bursts), the IMU and three MG92B brake servos. A micro metal-gear servo of that class draws on the order of 0.8-1 A at stall, so two or three stalling together plus the ESP32 burst approaches or exceeds the converter's rating - and at a 22 V to 5 V ratio the dissipation is high, which is exactly when the derating bites. Table 16 sheet 2 correctly names the governing constraint as 'Converter rating vs. Table ?? worst case', but that table does not exist, and Table 28 lists 'Logic rail load, worst case - Table ??' the same way.;Build the missing worst-case logic rail load table, and state the servo concurrency assumption: the jump-up sequence brakes one wheel and then a second, so if the servos never actuate simultaneously the converter is comfortable, and that assumption should be written into the mode logic rather than left implicit. If concurrent actuation is possible, either heatsink the LM2596, move to a higher-current converter, or give the servos their own rail - Sec 5.4.6 already anticipates the last of these by calling for an 'isolated 5 V rail' in task E10.
CUBLI1-013;G. Naso;v1.0;5.3.2, Table 28, tasks B13/C14/E10 (p.28, 54, 11);The largest sizing assumption is validated only by work designated sacrificial scope;tau_b is correctly identified as the input needing most care, it sets the brake-amplification factor beta = 1.353 that inflates the inertia requirement by 35%, and Sec 4.3.1 states plainly that the measurement which closes it is the spin-down test. But the 1-DoF rig deliberately omits the brake ('the servo (brake system) is not included in the 1-DoF prototype'), and every brake activity - C14 brake mechanism build, E10 brake servo rail and measurement, B13 jump-up - is scheduled 15-20 August and explicitly designated sacrificial scope that 'yields to G6 and G7 if the schedule is contested'. So the assumption underpinning the wheel sizing, and the structural load case flagged in Sec 1.1 as the design driver, may never be measured at all.;Decouple the measurement from the demonstration. A brake bench test needs no cube, no balancing and no controller: a motor and wheel on a fixed mount, the servo barrier, and a log fast enough to resolve a few-millisecond event. Run it as soon as one wheel is balanced (after C9, roughly 6 August) and report both the impulse-equivalent mean h_w/Delta t and the peak, as Sec 4.3.1 already specifies. That de-risks the sizing and the structural case at the cost of an afternoon, and it survives the loss of the jump-up demonstration.
CUBLI1-014;G. Naso;v1.0;5.3.4, Table 15 (p.31);The ballast station load is identified but never evaluated;Sec 5.3.4 states that 'each station carries the centrifugal load F = m_hw omega_max^2 r_b of its own hardware, reacted by the bolt in tension and by bearing of the head and nut faces on the printed material', which is the right load path, but no value is given. Evaluating it: 0.009 kg x (628.3 rad/s)^2 x 0.0525 m = 186 N per station, and about 2.8 kN summed over fifteen stations. With a 6.4 mm hole in a 15 mm wide ring, roughly 4.3 mm of material remains either side, giving a section stress of order 4 MPa - comfortable against PETG-CF, but only once it is written down.;"Add the number and the material allowable, and note the bearing stress under the bolt head and nut, which is the more likely failure mode in a printed part. Two further points worth stating: the M6 bolt-and-nut stack protrudes roughly 5 mm either side of a 5 mm ring, so the axial symmetry of the installed hardware matters for balance and for wheel-guard clearance; and since the stations must be installed in a balanced pattern, note which station counts are achievable without introducing a static imbalance - fifteen stations on a three-spoke wheel does not divide evenly."
CUBLI1-015;G. Naso;v1.0;Table 3 gate M2 vs Table 13, Table 21 (p.13, 27, 46);Gate M2 is dated the day of issue but its pass criterion is not met;M2 requires the 3D frame geometry frozen at 150 mm with 'mass, inertia and CoM budget closed against the sizing analysis', due 2 August - the issue date of this document. But Table 13 carries the structure as an allowance pending CAD, Table 21 still lists the motor axis offsets, mounting face height, wheel clearances, minimum internal volume and corner contact radius as TBD, and Sec 5.3.3 states 'the final design is not frozen'. The mass budget is therefore closed against an assumption, not against CAD.;"Record the gate as open with a revised date rather than leaving the schedule and the design in contradiction. The document is admirably honest about the underlying position in the Table 13 footnote; the schedule just has not been updated to match. Since M2 releases procurement round 2 (M3, 5 August), which is described as 'the last point at which parts can be ordered with useful delivery margin', this is worth resolving as a programme decision rather than a documentation tidy-up."
CUBLI1-016;G. Naso;v1.0;4.3 Eq. (3) vs 4.3.1 Eqs. (4)-(5) (p.19-20);Two independent jump-up analyses coexist and are never cross-checked;Sec 4.3 derives the required wheel speed from conservation of angular momentum and energy for the planar case, Eq. (3), and Sec 4.3.1 derives a momentum budget with contact-case geometry factors and a brake amplification term, Eqs. (4)-(5). Equation 3 is never evaluated numerically anywhere in the document, and the two methods are never compared.;Evaluate Eq. (3) for the 1-DoF rig geometry and compare against the Eq. (4) edge case (h_w = 0.2348 kg m2/s, Table 12). Two independent derivations agreeing is the cheapest validation available for the most consequential calculation in the document, and any disagreement points straight at an error in one of them. This also gives the 1-DoF rig a predicted jump-up speed to test against, which is useful evidence for the v2 submission.
CUBLI1-017;G. Naso;v1.0;4.3.1, Table 16, Table 28 (p.21, 35, 54);Three unresolved cross-references printed as '??';Sec 4.3.1 refers to 'the spin-down test of Section ??'. Table 16 sheet 2 refers to 'Table ?? worst case'. Table 28 lists 'Logic rail load, worst case - Table ??'. All three point at content that does not exist yet rather than at mislabelled content.;Create the two missing tables (spin-down test procedure, worst-case logic rail load) and the section, or mark them explicitly as to be issued. The spin-down test is the same one recommended above, so this closes with that action.
CUBLI1-018;G. Naso;v1.0;Table 6, 4.1.1, 5.4.1 (p.19, 18, 32-33);The torque constant is sourced from the datasheet in one place and derived from bench data in another, with three different values in play;Table 6 gives the determination method for K_m as 'Motor datasheet'. Sec 4.1.1 models the actuator as T_m = K_m u, a pure proportionality. Sec 5.4.1 then derives from the bench curves an incremental slope of 0.023 N m/A with a positive torque-axis intercept of about 0.08 N m, and notes that a through-origin ratio would give 0.031 N m/A. So there are three candidate values and the model form does not match the measured behaviour.;State which value enters the (A, B) matrices and why. The reasoning in Sec 5.4.1 about the intercept representing losses that do not reach the shaft is good and the slope is the right choice for control design, so say so in Table 6 and update it from 'datasheet' to 'bench data, incremental slope'. Then note that the offset appears as a torque bias which the offset-correction filter of Eq. (10)-(11) will absorb - that is worth one sentence, because it is a genuine strength of the control design that is currently unremarked.
CUBLI1-019;G. Naso;v1.0;Table 1 (p.8);Personal mobile numbers and private email addresses are published in the document;Table 1 lists full personal mobile numbers and private email addresses for all six team members. This document will be circulated to reviewers, mentors and potentially published as a programme output.;Replace with programme or institutional contacts, or with names and roles only. The accountable-scope descriptions in that table are genuinely valuable and should stay - it is the clearest ownership statement in the cohort - but the contact details serve no reviewing purpose and should not be in a distributed document.
CUBLI1-020;G. Naso;v1.0;Cover page vs running headers, 3.1 heading (p.1-2, 17);The project name and one acronym are inconsistent;The cover names the project 'Armonia' while every running header reads 'Technical Design Document Cubli', and the header alternates between two forms with and without 'Space Challenges 2026'. The Sec 3.1 heading reads 'Justification of reaction wheels for the ACDS system', where the body of the same section correctly uses ADCS. Page 2 is effectively blank. Figure 8's title in the List of Figures reads 'Measured MN4006 shaft torque' where the caption correctly identifies it as manufacturer bench data.;Set the header to the project name, fix ACDS to ADCS, and retitle Figure 8 as manufacturer data to match its own caption - the caption's honesty about the propeller loading is one of the better touches in the document and the title should not undercut it.
CUBLI1-021;G. Naso;v1.0;Document-wide;Overall assessment: the strongest document in the cohort, and the reasoning is why;This document does things none of the others attempt. Sizing is treated as a fixed-point iteration rather than a one-pass calculation, and the convergence is explicit - the mass budget reproduces to within 0.1 g the M it assumed. Assumptions are not merely declared but interrogated: the tau_b discussion works out which direction the error is safe in and quantifies the asymmetry, then separates the sizing value from the structural load and forbids using one for the other. The motor curves are explicitly rejected as load-representative while retaining what does transfer. The accelerometer is placed at the pivot for a stated dynamical reason. The bus topology is fixed before the board outline because routing is a correctness requirement. The future-work chapter argues against its own proposals as hard as for them. Appendices are separated from rationale so geometry changes do not touch design intent. The bill of materials distinguishes what was supplied from what the team must design and identifies the latter as the schedule risk.;Two things would finish it. First, the requirements table and risk register (findings above) - the analysis is excellent but there is nothing to verify against and nothing prioritised. Second, follow the arithmetic through in the four places where a number is asserted rather than evaluated: the 5000 rpm case, the h_w/Delta t figure, Equation 4's grouping, and the ballast station load. All four are checkable in minutes and all four currently say something the document does not mean. Fix those and this reads as professional work rather than student work.
